date,open,high,low,close,volume,average,barCount,ETF
2021-10-13,58.93,59.49,57.65,59.1,-1.0,-1.0,-1,UPRO
2021-10-14,60.72,62.17,60.51,62.09,-1.0,-1.0,-1,UPRO
2021-10-15,63.05,63.68,62.76,63.5,-1.0,-1.0,-1,UPRO
2021-10-18,62.67,64.22,62.38,64.09,-1.0,-1.0,-1,UPRO
2021-10-19,64.8,65.58,64.53,65.58,-1.0,-1.0,-1,UPRO
2021-10-20,65.76,66.47,65.71,66.31,-1.0,-1.0,-1,UPRO
2021-10-21,66.03,66.94,65.83,66.84,-1.0,-1.0,-1,UPRO
2021-10-22,66.63,67.32,65.71,66.62,-1.0,-1.0,-1,UPRO
2021-10-25,67.11,67.83,66.29,67.65,-1.0,-1.0,-1,UPRO
2021-10-26,68.41,69.0,67.7,67.88,-1.0,-1.0,-1,UPRO
2021-10-27,68.07,68.39,66.94,66.95,-1.0,-1.0,-1,UPRO
2021-10-28,67.63,68.92,67.63,68.87,-1.0,-1.0,-1,UPRO
2021-10-29,67.8,69.45,67.65,69.31,-1.0,-1.0,-1,UPRO
2021-11-01,69.78,69.97,68.83,69.69,-1.0,-1.0,-1,UPRO
2021-11-02,69.73,70.66,69.67,70.5,-1.0,-1.0,-1,UPRO
2021-11-03,70.22,72.0,70.01,71.81,-1.0,-1.0,-1,UPRO
2021-11-04,72.08,72.86,71.92,72.78,-1.0,-1.0,-1,UPRO
2021-11-05,73.94,74.57,72.82,73.56,-1.0,-1.0,-1,UPRO
2021-11-08,74.11,74.38,73.42,73.77,-1.0,-1.0,-1,UPRO
2021-11-09,73.94,74.06,72.31,73.03,-1.0,-1.0,-1,UPRO
2021-11-10,72.16,73.01,70.5,71.26,-1.0,-1.0,-1,UPRO
2021-11-11,71.96,72.01,71.31,71.33,-1.0,-1.0,-1,UPRO
2021-11-12,71.94,73.2,71.47,72.91,-1.0,-1.0,-1,UPRO
2021-11-15,73.56,73.63,72.42,72.98,-1.0,-1.0,-1,UPRO
2021-11-16,72.85,74.42,72.82,73.83,-1.0,-1.0,-1,UPRO
2021-11-17,73.72,73.82,72.99,73.3,-1.0,-1.0,-1,UPRO
2021-11-18,73.81,74.19,72.46,74.03,-1.0,-1.0,-1,UPRO
2021-11-19,73.98,74.62,73.47,73.66,-1.0,-1.0,-1,UPRO
2021-11-22,74.55,75.85,72.91,73.0,-1.0,-1.0,-1,UPRO
2021-11-23,72.84,73.73,71.55,73.33,-1.0,-1.0,-1,UPRO
2021-11-24,72.28,73.95,71.88,73.85,-1.0,-1.0,-1,UPRO
2021-11-26,70.53,71.26,68.36,68.96,-1.0,-1.0,-1,UPRO
2021-11-29,71.22,72.33,70.16,71.47,-1.0,-1.0,-1,UPRO
2021-11-30,70.24,71.18,67.15,67.38,-1.0,-1.0,-1,UPRO
2021-12-01,69.95,71.33,64.92,65.04,-1.0,-1.0,-1,UPRO
2021-12-02,65.09,68.72,64.92,68.0,-1.0,-1.0,-1,UPRO
2021-12-03,68.78,69.3,64.23,66.23,-1.0,-1.0,-1,UPRO
2021-12-06,67.39,69.46,66.27,68.57,-1.0,-1.0,-1,UPRO
2021-12-07,71.08,73.1,71.06,72.8,-1.0,-1.0,-1,UPRO
2021-12-08,73.02,73.64,72.16,73.42,-1.0,-1.0,-1,UPRO
2021-12-09,72.75,73.21,71.82,71.9,-1.0,-1.0,-1,UPRO
2021-12-10,73.24,74.02,71.97,73.94,-1.0,-1.0,-1,UPRO
2021-12-13,73.68,73.85,71.84,71.99,-1.0,-1.0,-1,UPRO
2021-12-14,70.33,71.58,69.02,70.48,-1.0,-1.0,-1,UPRO
2021-12-15,70.49,73.89,69.29,73.76,-1.0,-1.0,-1,UPRO
2021-12-16,74.67,74.83,71.02,71.77,-1.0,-1.0,-1,UPRO
2021-12-17,70.27,71.76,68.67,69.52,-1.0,-1.0,-1,UPRO
2021-12-20,67.05,67.48,65.54,67.29,-1.0,-1.0,-1,UPRO
2021-12-21,68.88,70.94,67.86,70.86,-1.0,-1.0,-1,UPRO
2021-12-22,70.74,73.03,70.64,72.97,-1.0,-1.0,-1,UPRO
2021-12-23,73.42,75.04,73.38,74.3,-1.0,-1.0,-1,UPRO
2021-12-27,74.97,77.47,74.96,77.45,-1.0,-1.0,-1,UPRO
2021-12-28,77.67,78.19,76.85,77.27,-1.0,-1.0,-1,UPRO
2021-12-29,77.31,78.08,76.79,77.54,-1.0,-1.0,-1,UPRO
2021-12-30,77.75,78.28,76.66,76.89,-1.0,-1.0,-1,UPRO
2021-12-31,76.62,77.23,76.16,76.27,-1.0,-1.0,-1,UPRO
2022-01-03,76.95,77.67,75.76,77.64,-1.0,-1.0,-1,UPRO
2022-01-04,78.35,78.72,76.58,77.51,-1.0,-1.0,-1,UPRO
2022-01-05,77.35,77.74,73.02,73.07,-1.0,-1.0,-1,UPRO
2022-01-06,72.83,74.19,71.67,72.83,-1.0,-1.0,-1,UPRO
2022-01-07,72.83,73.42,71.3,72.0,-1.0,-1.0,-1,UPRO
2022-01-10,70.37,71.81,67.57,71.7,-1.0,-1.0,-1,UPRO
2022-01-11,71.56,73.7,70.09,73.64,-1.0,-1.0,-1,UPRO
2022-01-12,74.5,75.27,73.27,74.28,-1.0,-1.0,-1,UPRO
2022-01-13,74.78,75.11,70.65,71.16,-1.0,-1.0,-1,UPRO
2022-01-14,69.6,71.41,69.02,71.22,-1.0,-1.0,-1,UPRO
2022-01-18,68.92,69.04,66.91,67.47,-1.0,-1.0,-1,UPRO
2022-01-19,68.16,68.82,65.21,65.36,-1.0,-1.0,-1,UPRO
2022-01-20,66.18,68.37,62.94,63.16,-1.0,-1.0,-1,UPRO
2022-01-21,62.65,63.71,59.44,59.45,-1.0,-1.0,-1,UPRO
2022-01-24,57.01,60.41,52.41,60.2,-1.0,-1.0,-1,UPRO
2022-01-25,57.41,60.14,54.99,58.0,-1.0,-1.0,-1,UPRO
2022-01-26,60.45,61.79,55.73,57.59,-1.0,-1.0,-1,UPRO
2022-01-27,59.47,60.81,55.96,56.7,-1.0,-1.0,-1,UPRO
2022-01-28,57.25,60.9,55.32,60.88,-1.0,-1.0,-1,UPRO
2022-01-31,60.59,64.34,60.0,64.14,-1.0,-1.0,-1,UPRO
2022-02-01,64.52,65.77,62.9,65.48,-1.0,-1.0,-1,UPRO
2022-02-02,66.56,67.72,65.51,67.35,-1.0,-1.0,-1,UPRO
2022-02-03,64.55,65.44,62.22,62.65,-1.0,-1.0,-1,UPRO
2022-02-04,62.52,65.2,61.44,63.5,-1.0,-1.0,-1,UPRO
2022-02-07,63.82,64.46,62.26,62.84,-1.0,-1.0,-1,UPRO
2022-02-08,62.63,64.84,62.0,64.39,-1.0,-1.0,-1,UPRO
2022-02-09,66.25,67.35,66.15,67.22,-1.0,-1.0,-1,UPRO
2022-02-10,64.5,67.31,62.67,63.63,-1.0,-1.0,-1,UPRO
2022-02-11,63.63,64.58,59.18,59.83,-1.0,-1.0,-1,UPRO
2022-02-14,59.62,60.3,57.74,59.25,-1.0,-1.0,-1,UPRO
2022-02-15,61.15,62.18,60.93,62.09,-1.0,-1.0,-1,UPRO
2022-02-16,61.2,62.92,60.35,62.33,-1.0,-1.0,-1,UPRO
2022-02-17,60.88,61.13,58.04,58.34,-1.0,-1.0,-1,UPRO
2022-02-18,58.42,58.96,56.2,57.19,-1.0,-1.0,-1,UPRO
2022-02-22,56.25,57.67,53.85,55.36,-1.0,-1.0,-1,UPRO
2022-02-23,56.51,56.75,52.12,52.36,-1.0,-1.0,-1,UPRO
2022-02-24,48.29,54.89,48.13,54.73,-1.0,-1.0,-1,UPRO
2022-02-25,55.23,58.38,54.56,58.3,-1.0,-1.0,-1,UPRO
2022-02-28,56.05,58.53,55.52,57.88,-1.0,-1.0,-1,UPRO
2022-03-01,57.25,58.12,54.14,55.27,-1.0,-1.0,-1,UPRO
2022-03-02,56.16,58.93,55.84,58.27,-1.0,-1.0,-1,UPRO
2022-03-03,59.3,59.56,56.66,57.41,-1.0,-1.0,-1,UPRO
2022-03-04,55.83,56.48,54.29,56.02,-1.0,-1.0,-1,UPRO
2022-03-07,55.76,55.87,51.01,51.05,-1.0,-1.0,-1,UPRO
2022-03-08,51.12,53.87,49.45,49.87,-1.0,-1.0,-1,UPRO
2022-03-09,53.07,54.64,52.23,53.88,-1.0,-1.0,-1,UPRO
2022-03-10,52.02,53.51,51.24,53.15,-1.0,-1.0,-1,UPRO
2022-03-11,54.16,54.38,50.91,51.11,-1.0,-1.0,-1,UPRO
2022-03-14,51.41,52.73,49.54,50.0,-1.0,-1.0,-1,UPRO
2022-03-15,50.98,53.53,50.49,53.27,-1.0,-1.0,-1,UPRO
2022-03-16,54.69,56.85,52.75,56.81,-1.0,-1.0,-1,UPRO
2022-03-17,56.02,58.97,55.87,58.94,-1.0,-1.0,-1,UPRO
2022-03-18,58.28,61.03,57.97,60.87,-1.0,-1.0,-1,UPRO
2022-03-21,60.8,61.69,59.31,60.86,-1.0,-1.0,-1,UPRO
2022-03-22,61.45,63.37,61.44,62.95,-1.0,-1.0,-1,UPRO
2022-03-23,61.8,62.47,60.49,60.52,-1.0,-1.0,-1,UPRO
2022-03-24,61.34,63.22,60.89,63.19,-1.0,-1.0,-1,UPRO
2022-03-25,63.5,64.28,62.36,64.14,-1.0,-1.0,-1,UPRO
2022-03-28,63.87,65.51,63.02,65.5,-1.0,-1.0,-1,UPRO
2022-03-29,67.28,68.17,66.05,67.97,-1.0,-1.0,-1,UPRO
2022-03-30,67.41,67.79,65.69,66.7,-1.0,-1.0,-1,UPRO
2022-03-31,66.32,66.7,63.54,63.62,-1.0,-1.0,-1,UPRO
2022-04-01,64.31,64.36,62.53,64.11,-1.0,-1.0,-1,UPRO
2022-04-04,64.21,65.79,63.84,65.77,-1.0,-1.0,-1,UPRO
2022-04-05,65.11,66.22,62.76,63.31,-1.0,-1.0,-1,UPRO
2022-04-06,61.52,62.4,60.08,61.39,-1.0,-1.0,-1,UPRO
2022-04-07,60.98,63.08,60.13,62.3,-1.0,-1.0,-1,UPRO
2022-04-08,61.95,63.06,61.1,61.82,-1.0,-1.0,-1,UPRO
2022-04-11,60.34,60.72,58.4,58.63,-1.0,-1.0,-1,UPRO
2022-04-12,59.87,60.94,57.3,57.94,-1.0,-1.0,-1,UPRO
2022-04-13,57.84,60.24,57.76,59.95,-1.0,-1.0,-1,UPRO
2022-04-14,60.02,60.52,57.64,57.73,-1.0,-1.0,-1,UPRO
2022-04-18,57.3,58.46,56.82,57.76,-1.0,-1.0,-1,UPRO
2022-04-19,57.7,60.85,57.63,60.52,-1.0,-1.0,-1,UPRO
2022-04-20,61.31,61.58,59.9,60.38,-1.0,-1.0,-1,UPRO
2022-04-21,61.97,62.59,57.3,57.68,-1.0,-1.0,-1,UPRO
